"id	gen	sp	en	rec	cnt	lat	lng	type	lic"
"132608	Acanthis	flammea	Common Redpoll	Jarek Matusiak	Poland	50.7932	15.4995	female, male, song	http://creativecommons.org/licenses/by-nc-sa/3.0/"
"132609	Acanthis	flammea	Common Redpoll	Jarek Matusiak	Poland	50.7932	15.4995	flight call, male, song	http://creativecommons.org/licenses/by-nc-sa/3.0/"
"132611	Acanthis	flammea	Common Redpoll	Jarek Matusiak	Poland	50.7932	15.4995	flight call, male, song	http://creativecommons.org/licenses/by-nc-sa/3.0/"
"26308	Acanthis	flammea	Common Redpoll	Stuart Fisher	United Kingdom	51.2887	-0.5267	calls of a feeding flock taking flight (with Goldfinch)	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"168551	Acanthis	flammea	Common Redpoll	Piotr Szczypinski	Poland	53.1343	20.3111	call	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"90382	Acanthis	flammea	Common Redpoll	Stuart Fisher	United Kingdom	51.5676	0.0451	call	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"100976	Acanthis	flammea	Common Redpoll	Tony Whitehead	United Kingdom	50.601	-3.72	call, song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"26244	Acanthis	flammea	Common Redpoll	Stuart Fisher	United Kingdom	51.2887	-0.5267	flight call	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"35068	Acanthis	flammea	Common Redpoll	Sander Bot	Netherlands	52.8176	6.4326	call, song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"152480	Acanthis	flammea	Common Redpoll	Stein . Nilsen	Norway	69.5778	18.6401	song	http://creativecommons.org/licenses/by-nc-sa/3.0/"
"83811	Accipiter	nisus	Eurasian Sparrowhawk	Tomas Telensky	Czech Republic	50.104	14.427	begging call	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"83812	Accipiter	nisus	Eurasian Sparrowhawk	Tomas Telensky	Czech Republic	50.104	14.427	begging call	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"143334	Accipiter	nisus	Eurasian Sparrowhawk	Piotr Szczypinski	Poland	53.1134	20.3533	begging call, call, juvenile	http://creativecommons.org/licenses/by-nc-sa/3.0/"
"143335	Accipiter	nisus	Eurasian Sparrowhawk	Piotr Szczypinski	Poland	53.1134	20.3533	begging call, call, juvenile	http://creativecommons.org/licenses/by-nc-sa/3.0/"
"27400	Accipiter	nisus	Eurasian Sparrowhawk	Stuart Fisher	United Kingdom	51.3026	-0.5439	alarm call	http://creativecommons.org/licenses/by-nc-nd/2.5/"
