Animal name,Path,ID
ABBOTTS BABBLER,/home/u668954/Bird_classifier/test/ABBOTTS BABBLER/1.jpg,0
ABBOTTS BABBLER,/home/u668954/Bird_classifier/test/ABBOTTS BABBLER/2.jpg,0
ABBOTTS BABBLER,/home/u668954/Bird_classifier/test/ABBOTTS BABBLER/3.jpg,0
ABBOTTS BABBLER,/home/u668954/Bird_classifier/test/ABBOTTS BABBLER/4.jpg,0
ABBOTTS BABBLER,/home/u668954/Bird_classifier/test/ABBOTTS BABBLER/5.jpg,0
ABBOTTS BOOBY,/home/u668954/Bird_classifier/test/ABBOTTS BOOBY/1.jpg,1
ABBOTTS BOOBY,/home/u668954/Bird_classifier/test/ABBOTTS BOOBY/2.jpg,1
ABBOTTS BOOBY,/home/u668954/Bird_classifier/test/ABBOTTS BOOBY/3.jpg,1
ABBOTTS BOOBY,/home/u668954/Bird_classifier/test/ABBOTTS BOOBY/4.jpg,1
ABBOTTS BOOBY,/home/u668954/Bird_classifier/test/ABBOTTS BOOBY/5.jpg,1
ABYSSINIAN GROUND HORNBILL,/home/u668954/Bird_classifier/test/ABYSSINIAN GROUND HORNBILL/1.jpg,2
ABYSSINIAN GROUND HORNBILL,/home/u668954/Bird_classifier/test/ABYSSINIAN GROUND HORNBILL/2.jpg,2
ABYSSINIAN GROUND HORNBILL,/home/u668954/Bird_classifier/test/ABYSSINIAN GROUND HORNBILL/3.jpg,2
ABYSSINIAN GROUND HORNBILL,/home/u668954/Bird_classifier/test/ABYSSINIAN GROUND HORNBILL/4.jpg,2
ABYSSINIAN GROUND HORNBILL,/home/u668954/Bird_classifier/test/ABYSSINIAN GROUND HORNBILL/5.jpg,2
AFRICAN CROWNED CRANE,/home/u668954/Bird_classifier/test/AFRICAN CROWNED CRANE/1.jpg,3
AFRICAN CROWNED CRANE,/home/u668954/Bird_classifier/test/AFRICAN CROWNED CRANE/2.jpg,3
AFRICAN CROWNED CRANE,/home/u668954/Bird_classifier/test/AFRICAN CROWNED CRANE/3.jpg,3
AFRICAN CROWNED CRANE,/home/u668954/Bird_classifier/test/AFRICAN CROWNED CRANE/4.jpg,3
AFRICAN CROWNED CRANE,/home/u668954/Bird_classifier/test/AFRICAN CROWNED CRANE/5.jpg,3
AFRICAN EMERALD CUCKOO,/home/u668954/Bird_classifier/test/AFRICAN EMERALD CUCKOO/1.jpg,4
AFRICAN EMERALD CUCKOO,/home/u668954/Bird_classifier/test/AFRICAN EMERALD CUCKOO/2.jpg,4
AFRICAN EMERALD CUCKOO,/home/u668954/Bird_classifier/test/AFRICAN EMERALD CUCKOO/3.jpg,4
AFRICAN EMERALD CUCKOO,/home/u668954/Bird_classifier/test/AFRICAN EMERALD CUCKOO/4.jpg,4
AFRICAN EMERALD CUCKOO,/home/u668954/Bird_classifier/test/AFRICAN EMERALD CUCKOO/5.jpg,4
AFRICAN FIREFINCH,/home/u668954/Bird_classifier/test/AFRICAN FIREFINCH/1.jpg,5
AFRICAN FIREFINCH,/home/u668954/Bird_classifier/test/AFRICAN FIREFINCH/2.jpg,5
AFRICAN FIREFINCH,/home/u668954/Bird_classifier/test/AFRICAN FIREFINCH/3.jpg,5
AFRICAN FIREFINCH,/home/u668954/Bird_classifier/test/AFRICAN FIREFINCH/4.jpg,5
AFRICAN FIREFINCH,/home/u668954/Bird_classifier/test/AFRICAN FIREFINCH/5.jpg,5
AFRICAN OYSTER CATCHER,/home/u668954/Bird_classifier/test/AFRICAN OYSTER CATCHER/1.jpg,6
AFRICAN OYSTER CATCHER,/home/u668954/Bird_classifier/test/AFRICAN OYSTER CATCHER/2.jpg,6
AFRICAN OYSTER CATCHER,/home/u668954/Bird_classifier/test/AFRICAN OYSTER CATCHER/3.jpg,6
AFRICAN OYSTER CATCHER,/home/u668954/Bird_classifier/test/AFRICAN OYSTER CATCHER/4.jpg,6
AFRICAN OYSTER CATCHER,/home/u668954/Bird_classifier/test/AFRICAN OYSTER CATCHER/5.jpg,6
AFRICAN PIED HORNBILL,/home/u668954/Bird_classifier/test/AFRICAN PIED HORNBILL/1.jpg,7
AFRICAN PIED HORNBILL,/home/u668954/Bird_classifier/test/AFRICAN PIED HORNBILL/2.jpg,7
AFRICAN PIED HORNBILL,/home/u668954/Bird_classifier/test/AFRICAN PIED HORNBILL/3.jpg,7
AFRICAN PIED HORNBILL,/home/u668954/Bird_classifier/test/AFRICAN PIED HORNBILL/4.jpg,7
AFRICAN PIED HORNBILL,/home/u668954/Bird_classifier/test/AFRICAN PIED HORNBILL/5.jpg,7
ALBATROSS,/home/u668954/Bird_classifier/test/ALBATROSS/1.jpg,8
ALBATROSS,/home/u668954/Bird_classifier/test/ALBATROSS/2.jpg,8
ALBATROSS,/home/u668954/Bird_classifier/test/ALBATROSS/3.jpg,8
ALBATROSS,/home/u668954/Bird_classifier/test/ALBATROSS/4.jpg,8
ALBATROSS,/home/u668954/Bird_classifier/test/ALBATROSS/5.jpg,8
ALBERTS TOWHEE,/home/u668954/Bird_classifier/test/ALBERTS TOWHEE/1.jpg,9
ALBERTS TOWHEE,/home/u668954/Bird_classifier/test/ALBERTS TOWHEE/2.jpg,9
ALBERTS TOWHEE,/home/u668954/Bird_classifier/test/ALBERTS TOWHEE/3.jpg,9
ALBERTS TOWHEE,/home/u668954/Bird_classifier/test/ALBERTS TOWHEE/4.jpg,9
ALBERTS TOWHEE,/home/u668954/Bird_classifier/test/ALBERTS TOWHEE/5.jpg,9
ALEXANDRINE PARAKEET,/home/u668954/Bird_classifier/test/ALEXANDRINE PARAKEET/1.jpg,10
ALEXANDRINE PARAKEET,/home/u668954/Bird_classifier/test/ALEXANDRINE PARAKEET/2.jpg,10
ALEXANDRINE PARAKEET,/home/u668954/Bird_classifier/test/ALEXANDRINE PARAKEET/3.jpg,10
ALEXANDRINE PARAKEET,/home/u668954/Bird_classifier/test/ALEXANDRINE PARAKEET/4.jpg,10
ALEXANDRINE PARAKEET,/home/u668954/Bird_classifier/test/ALEXANDRINE PARAKEET/5.jpg,10
ALPINE CHOUGH,/home/u668954/Bird_classifier/test/ALPINE CHOUGH/1.jpg,11
ALPINE CHOUGH,/home/u668954/Bird_classifier/test/ALPINE CHOUGH/2.jpg,11
ALPINE CHOUGH,/home/u668954/Bird_classifier/test/ALPINE CHOUGH/3.jpg,11
ALPINE CHOUGH,/home/u668954/Bird_classifier/test/ALPINE CHOUGH/4.jpg,11
ALPINE CHOUGH,/home/u668954/Bird_classifier/test/ALPINE CHOUGH/5.jpg,11
ALTAMIRA YELLOWTHROAT,/home/u668954/Bird_classifier/test/ALTAMIRA YELLOWTHROAT/1.jpg,12
ALTAMIRA YELLOWTHROAT,/home/u668954/Bird_classifier/test/ALTAMIRA YELLOWTHROAT/2.jpg,12
ALTAMIRA YELLOWTHROAT,/home/u668954/Bird_classifier/test/ALTAMIRA YELLOWTHROAT/3.jpg,12
ALTAMIRA YELLOWTHROAT,/home/u668954/Bird_classifier/test/ALTAMIRA YELLOWTHROAT/4.jpg,12
ALTAMIRA YELLOWTHROAT,/home/u668954/Bird_classifier/test/ALTAMIRA YELLOWTHROAT/5.jpg,12
AMERICAN AVOCET,/home/u668954/Bird_classifier/test/AMERICAN AVOCET/1.jpg,13
AMERICAN AVOCET,/home/u668954/Bird_classifier/test/AMERICAN AVOCET/2.jpg,13
AMERICAN AVOCET,/home/u668954/Bird_classifier/test/AMERICAN AVOCET/3.jpg,13
AMERICAN AVOCET,/home/u668954/Bird_classifier/test/AMERICAN AVOCET/4.jpg,13
AMERICAN AVOCET,/home/u668954/Bird_classifier/test/AMERICAN AVOCET/5.jpg,13
AMERICAN BITTERN,/home/u668954/Bird_classifier/test/AMERICAN BITTERN/1.jpg,14
AMERICAN BITTERN,/home/u668954/Bird_classifier/test/AMERICAN BITTERN/2.jpg,14
AMERICAN BITTERN,/home/u668954/Bird_classifier/test/AMERICAN BITTERN/3.jpg,14
AMERICAN BITTERN,/home/u668954/Bird_classifier/test/AMERICAN BITTERN/4.jpg,14
AMERICAN BITTERN,/home/u668954/Bird_classifier/test/AMERICAN BITTERN/5.jpg,14
AMERICAN COOT,/home/u668954/Bird_classifier/test/AMERICAN COOT/1.jpg,15
AMERICAN COOT,/home/u668954/Bird_classifier/test/AMERICAN COOT/2.jpg,15
AMERICAN COOT,/home/u668954/Bird_classifier/test/AMERICAN COOT/3.jpg,15
AMERICAN COOT,/home/u668954/Bird_classifier/test/AMERICAN COOT/4.jpg,15
AMERICAN COOT,/home/u668954/Bird_classifier/test/AMERICAN COOT/5.jpg,15
AMERICAN FLAMINGO,/home/u668954/Bird_classifier/test/AMERICAN FLAMINGO/1.jpg,16
AMERICAN FLAMINGO,/home/u668954/Bird_classifier/test/AMERICAN FLAMINGO/2.jpg,16
AMERICAN FLAMINGO,/home/u668954/Bird_classifier/test/AMERICAN FLAMINGO/3.jpg,16
AMERICAN FLAMINGO,/home/u668954/Bird_classifier/test/AMERICAN FLAMINGO/4.jpg,16
AMERICAN FLAMINGO,/home/u668954/Bird_classifier/test/AMERICAN FLAMINGO/5.jpg,16
AMERICAN GOLDFINCH,/home/u668954/Bird_classifier/test/AMERICAN GOLDFINCH/1.jpg,17
AMERICAN GOLDFINCH,/home/u668954/Bird_classifier/test/AMERICAN GOLDFINCH/2.jpg,17
AMERICAN GOLDFINCH,/home/u668954/Bird_classifier/test/AMERICAN GOLDFINCH/3.jpg,17
AMERICAN GOLDFINCH,/home/u668954/Bird_classifier/test/AMERICAN GOLDFINCH/4.jpg,17
AMERICAN GOLDFINCH,/home/u668954/Bird_classifier/test/AMERICAN GOLDFINCH/5.jpg,17
AMERICAN KESTREL,/home/u668954/Bird_classifier/test/AMERICAN KESTREL/1.jpg,18
AMERICAN KESTREL,/home/u668954/Bird_classifier/test/AMERICAN KESTREL/2.jpg,18
AMERICAN KESTREL,/home/u668954/Bird_classifier/test/AMERICAN KESTREL/3.jpg,18
AMERICAN KESTREL,/home/u668954/Bird_classifier/test/AMERICAN KESTREL/4.jpg,18
AMERICAN KESTREL,/home/u668954/Bird_classifier/test/AMERICAN KESTREL/5.jpg,18
AMERICAN PIPIT,/home/u668954/Bird_classifier/test/AMERICAN PIPIT/1.jpg,19
AMERICAN PIPIT,/home/u668954/Bird_classifier/test/AMERICAN PIPIT/2.jpg,19
AMERICAN PIPIT,/home/u668954/Bird_classifier/test/AMERICAN PIPIT/3.jpg,19
AMERICAN PIPIT,/home/u668954/Bird_classifier/test/AMERICAN PIPIT/4.jpg,19
AMERICAN PIPIT,/home/u668954/Bird_classifier/test/AMERICAN PIPIT/5.jpg,19
AMERICAN REDSTART,/home/u668954/Bird_classifier/test/AMERICAN REDSTART/1.jpg,20
AMERICAN REDSTART,/home/u668954/Bird_classifier/test/AMERICAN REDSTART/2.jpg,20
AMERICAN REDSTART,/home/u668954/Bird_classifier/test/AMERICAN REDSTART/3.jpg,20
AMERICAN REDSTART,/home/u668954/Bird_classifier/test/AMERICAN REDSTART/4.jpg,20
AMERICAN REDSTART,/home/u668954/Bird_classifier/test/AMERICAN REDSTART/5.jpg,20
AMERICAN WIGEON,/home/u668954/Bird_classifier/test/AMERICAN WIGEON/1.jpg,21
AMERICAN WIGEON,/home/u668954/Bird_classifier/test/AMERICAN WIGEON/2.jpg,21
AMERICAN WIGEON,/home/u668954/Bird_classifier/test/AMERICAN WIGEON/3.jpg,21
AMERICAN WIGEON,/home/u668954/Bird_classifier/test/AMERICAN WIGEON/4.jpg,21
AMERICAN WIGEON,/home/u668954/Bird_classifier/test/AMERICAN WIGEON/5.jpg,21
AMETHYST WOODSTAR,/home/u668954/Bird_classifier/test/AMETHYST WOODSTAR/1.jpg,22
AMETHYST WOODSTAR,/home/u668954/Bird_classifier/test/AMETHYST WOODSTAR/2.jpg,22
AMETHYST WOODSTAR,/home/u668954/Bird_classifier/test/AMETHYST WOODSTAR/3.jpg,22
AMETHYST WOODSTAR,/home/u668954/Bird_classifier/test/AMETHYST WOODSTAR/4.jpg,22
AMETHYST WOODSTAR,/home/u668954/Bird_classifier/test/AMETHYST WOODSTAR/5.jpg,22
ANDEAN GOOSE,/home/u668954/Bird_classifier/test/ANDEAN GOOSE/1.jpg,23
ANDEAN GOOSE,/home/u668954/Bird_classifier/test/ANDEAN GOOSE/2.jpg,23
ANDEAN GOOSE,/home/u668954/Bird_classifier/test/ANDEAN GOOSE/3.jpg,23
ANDEAN GOOSE,/home/u668954/Bird_classifier/test/ANDEAN GOOSE/4.jpg,23
ANDEAN GOOSE,/home/u668954/Bird_classifier/test/ANDEAN GOOSE/5.jpg,23
ANDEAN LAPWING,/home/u668954/Bird_classifier/test/ANDEAN LAPWING/1.jpg,24
ANDEAN LAPWING,/home/u668954/Bird_classifier/test/ANDEAN LAPWING/2.jpg,24
ANDEAN LAPWING,/home/u668954/Bird_classifier/test/ANDEAN LAPWING/3.jpg,24
ANDEAN LAPWING,/home/u668954/Bird_classifier/test/ANDEAN LAPWING/4.jpg,24
ANDEAN LAPWING,/home/u668954/Bird_classifier/test/ANDEAN LAPWING/5.jpg,24
ANDEAN SISKIN,/home/u668954/Bird_classifier/test/ANDEAN SISKIN/1.jpg,25
ANDEAN SISKIN,/home/u668954/Bird_classifier/test/ANDEAN SISKIN/2.jpg,25
ANDEAN SISKIN,/home/u668954/Bird_classifier/test/ANDEAN SISKIN/3.jpg,25
ANDEAN SISKIN,/home/u668954/Bird_classifier/test/ANDEAN SISKIN/4.jpg,25
ANDEAN SISKIN,/home/u668954/Bird_classifier/test/ANDEAN SISKIN/5.jpg,25
ANHINGA,/home/u668954/Bird_classifier/test/ANHINGA/1.jpg,26
ANHINGA,/home/u668954/Bird_classifier/test/ANHINGA/2.jpg,26
ANHINGA,/home/u668954/Bird_classifier/test/ANHINGA/3.jpg,26
ANHINGA,/home/u668954/Bird_classifier/test/ANHINGA/4.jpg,26
ANHINGA,/home/u668954/Bird_classifier/test/ANHINGA/5.jpg,26
ANIANIAU,/home/u668954/Bird_classifier/test/ANIANIAU/1.jpg,27
ANIANIAU,/home/u668954/Bird_classifier/test/ANIANIAU/2.jpg,27
ANIANIAU,/home/u668954/Bird_classifier/test/ANIANIAU/3.jpg,27
ANIANIAU,/home/u668954/Bird_classifier/test/ANIANIAU/4.jpg,27
ANIANIAU,/home/u668954/Bird_classifier/test/ANIANIAU/5.jpg,27
ANNAS HUMMINGBIRD,/home/u668954/Bird_classifier/test/ANNAS HUMMINGBIRD/1.jpg,28
ANNAS HUMMINGBIRD,/home/u668954/Bird_classifier/test/ANNAS HUMMINGBIRD/2.jpg,28
ANNAS HUMMINGBIRD,/home/u668954/Bird_classifier/test/ANNAS HUMMINGBIRD/3.jpg,28
ANNAS HUMMINGBIRD,/home/u668954/Bird_classifier/test/ANNAS HUMMINGBIRD/4.jpg,28
ANNAS HUMMINGBIRD,/home/u668954/Bird_classifier/test/ANNAS HUMMINGBIRD/5.jpg,28
ANTBIRD,/home/u668954/Bird_classifier/test/ANTBIRD/1.jpg,29
ANTBIRD,/home/u668954/Bird_classifier/test/ANTBIRD/2.jpg,29
ANTBIRD,/home/u668954/Bird_classifier/test/ANTBIRD/3.jpg,29
ANTBIRD,/home/u668954/Bird_classifier/test/ANTBIRD/4.jpg,29
ANTBIRD,/home/u668954/Bird_classifier/test/ANTBIRD/5.jpg,29
ANTILLEAN EUPHONIA,/home/u668954/Bird_classifier/test/ANTILLEAN EUPHONIA/1.jpg,30
ANTILLEAN EUPHONIA,/home/u668954/Bird_classifier/test/ANTILLEAN EUPHONIA/2.jpg,30
ANTILLEAN EUPHONIA,/home/u668954/Bird_classifier/test/ANTILLEAN EUPHONIA/3.jpg,30
ANTILLEAN EUPHONIA,/home/u668954/Bird_classifier/test/ANTILLEAN EUPHONIA/4.jpg,30
ANTILLEAN EUPHONIA,/home/u668954/Bird_classifier/test/ANTILLEAN EUPHONIA/5.jpg,30
APAPANE,/home/u668954/Bird_classifier/test/APAPANE/1.jpg,31
APAPANE,/home/u668954/Bird_classifier/test/APAPANE/2.jpg,31
APAPANE,/home/u668954/Bird_classifier/test/APAPANE/3.jpg,31
APAPANE,/home/u668954/Bird_classifier/test/APAPANE/4.jpg,31
APAPANE,/home/u668954/Bird_classifier/test/APAPANE/5.jpg,31
APOSTLEBIRD,/home/u668954/Bird_classifier/test/APOSTLEBIRD/1.jpg,32
APOSTLEBIRD,/home/u668954/Bird_classifier/test/APOSTLEBIRD/2.jpg,32
APOSTLEBIRD,/home/u668954/Bird_classifier/test/APOSTLEBIRD/3.jpg,32
APOSTLEBIRD,/home/u668954/Bird_classifier/test/APOSTLEBIRD/4.jpg,32
APOSTLEBIRD,/home/u668954/Bird_classifier/test/APOSTLEBIRD/5.jpg,32
ARARIPE MANAKIN,/home/u668954/Bird_classifier/test/ARARIPE MANAKIN/1.jpg,33
ARARIPE MANAKIN,/home/u668954/Bird_classifier/test/ARARIPE MANAKIN/2.jpg,33
ARARIPE MANAKIN,/home/u668954/Bird_classifier/test/ARARIPE MANAKIN/3.jpg,33
ARARIPE MANAKIN,/home/u668954/Bird_classifier/test/ARARIPE MANAKIN/4.jpg,33
ARARIPE MANAKIN,/home/u668954/Bird_classifier/test/ARARIPE MANAKIN/5.jpg,33
ASHY STORM PETREL,/home/u668954/Bird_classifier/test/ASHY STORM PETREL/1.jpg,34
ASHY STORM PETREL,/home/u668954/Bird_classifier/test/ASHY STORM PETREL/2.jpg,34
ASHY STORM PETREL,/home/u668954/Bird_classifier/test/ASHY STORM PETREL/3.jpg,34
ASHY STORM PETREL,/home/u668954/Bird_classifier/test/ASHY STORM PETREL/4.jpg,34
ASHY STORM PETREL,/home/u668954/Bird_classifier/test/ASHY STORM PETREL/5.jpg,34
ASHY THRUSHBIRD,/home/u668954/Bird_classifier/test/ASHY THRUSHBIRD/1.jpg,35
ASHY THRUSHBIRD,/home/u668954/Bird_classifier/test/ASHY THRUSHBIRD/2.jpg,35
ASHY THRUSHBIRD,/home/u668954/Bird_classifier/test/ASHY THRUSHBIRD/3.jpg,35
ASHY THRUSHBIRD,/home/u668954/Bird_classifier/test/ASHY THRUSHBIRD/4.jpg,35
ASHY THRUSHBIRD,/home/u668954/Bird_classifier/test/ASHY THRUSHBIRD/5.jpg,35
ASIAN CRESTED IBIS,/home/u668954/Bird_classifier/test/ASIAN CRESTED IBIS/1.jpg,36
ASIAN CRESTED IBIS,/home/u668954/Bird_classifier/test/ASIAN CRESTED IBIS/2.jpg,36
ASIAN CRESTED IBIS,/home/u668954/Bird_classifier/test/ASIAN CRESTED IBIS/3.jpg,36
ASIAN CRESTED IBIS,/home/u668954/Bird_classifier/test/ASIAN CRESTED IBIS/4.jpg,36
ASIAN CRESTED IBIS,/home/u668954/Bird_classifier/test/ASIAN CRESTED IBIS/5.jpg,36
ASIAN DOLLARD BIRD,/home/u668954/Bird_classifier/test/ASIAN DOLLARD BIRD/1.jpg,37
ASIAN DOLLARD BIRD,/home/u668954/Bird_classifier/test/ASIAN DOLLARD BIRD/2.jpg,37
ASIAN DOLLARD BIRD,/home/u668954/Bird_classifier/test/ASIAN DOLLARD BIRD/3.jpg,37
