Animal name,Path,ID
ABBOTTS BABBLER,/home/u668954/Bird_classifier/valid/ABBOTTS BABBLER/1.jpg,0
ABBOTTS BABBLER,/home/u668954/Bird_classifier/valid/ABBOTTS BABBLER/2.jpg,0
ABBOTTS BABBLER,/home/u668954/Bird_classifier/valid/ABBOTTS BABBLER/3.jpg,0
ABBOTTS BABBLER,/home/u668954/Bird_classifier/valid/ABBOTTS BABBLER/4.jpg,0
ABBOTTS BABBLER,/home/u668954/Bird_classifier/valid/ABBOTTS BABBLER/5.jpg,0
ABBOTTS BOOBY,/home/u668954/Bird_classifier/valid/ABBOTTS BOOBY/1.jpg,1
ABBOTTS BOOBY,/home/u668954/Bird_classifier/valid/ABBOTTS BOOBY/2.jpg,1
ABBOTTS BOOBY,/home/u668954/Bird_classifier/valid/ABBOTTS BOOBY/3.jpg,1
ABBOTTS BOOBY,/home/u668954/Bird_classifier/valid/ABBOTTS BOOBY/4.jpg,1
ABBOTTS BOOBY,/home/u668954/Bird_classifier/valid/ABBOTTS BOOBY/5.jpg,1
ABYSSINIAN GROUND HORNBILL,/home/u668954/Bird_classifier/valid/ABYSSINIAN GROUND HORNBILL/1.jpg,2
ABYSSINIAN GROUND HORNBILL,/home/u668954/Bird_classifier/valid/ABYSSINIAN GROUND HORNBILL/2.jpg,2
ABYSSINIAN GROUND HORNBILL,/home/u668954/Bird_classifier/valid/ABYSSINIAN GROUND HORNBILL/3.jpg,2
ABYSSINIAN GROUND HORNBILL,/home/u668954/Bird_classifier/valid/ABYSSINIAN GROUND HORNBILL/4.jpg,2
ABYSSINIAN GROUND HORNBILL,/home/u668954/Bird_classifier/valid/ABYSSINIAN GROUND HORNBILL/5.jpg,2
AFRICAN CROWNED CRANE,/home/u668954/Bird_classifier/valid/AFRICAN CROWNED CRANE/1.jpg,3
AFRICAN CROWNED CRANE,/home/u668954/Bird_classifier/valid/AFRICAN CROWNED CRANE/2.jpg,3
AFRICAN CROWNED CRANE,/home/u668954/Bird_classifier/valid/AFRICAN CROWNED CRANE/3.jpg,3
AFRICAN CROWNED CRANE,/home/u668954/Bird_classifier/valid/AFRICAN CROWNED CRANE/4.jpg,3
AFRICAN CROWNED CRANE,/home/u668954/Bird_classifier/valid/AFRICAN CROWNED CRANE/5.jpg,3
AFRICAN EMERALD CUCKOO,/home/u668954/Bird_classifier/valid/AFRICAN EMERALD CUCKOO/1.jpg,4
AFRICAN EMERALD CUCKOO,/home/u668954/Bird_classifier/valid/AFRICAN EMERALD CUCKOO/2.jpg,4
AFRICAN EMERALD CUCKOO,/home/u668954/Bird_classifier/valid/AFRICAN EMERALD CUCKOO/3.jpg,4
AFRICAN EMERALD CUCKOO,/home/u668954/Bird_classifier/valid/AFRICAN EMERALD CUCKOO/4.jpg,4
AFRICAN EMERALD CUCKOO,/home/u668954/Bird_classifier/valid/AFRICAN EMERALD CUCKOO/5.jpg,4
AFRICAN FIREFINCH,/home/u668954/Bird_classifier/valid/AFRICAN FIREFINCH/1.jpg,5
AFRICAN FIREFINCH,/home/u668954/Bird_classifier/valid/AFRICAN FIREFINCH/2.jpg,5
AFRICAN FIREFINCH,/home/u668954/Bird_classifier/valid/AFRICAN FIREFINCH/3.jpg,5
AFRICAN FIREFINCH,/home/u668954/Bird_classifier/valid/AFRICAN FIREFINCH/4.jpg,5
AFRICAN FIREFINCH,/home/u668954/Bird_classifier/valid/AFRICAN FIREFINCH/5.jpg,5
AFRICAN OYSTER CATCHER,/home/u668954/Bird_classifier/valid/AFRICAN OYSTER CATCHER/1.jpg,6
AFRICAN OYSTER CATCHER,/home/u668954/Bird_classifier/valid/AFRICAN OYSTER CATCHER/2.jpg,6
AFRICAN OYSTER CATCHER,/home/u668954/Bird_classifier/valid/AFRICAN OYSTER CATCHER/3.jpg,6
AFRICAN OYSTER CATCHER,/home/u668954/Bird_classifier/valid/AFRICAN OYSTER CATCHER/4.jpg,6
AFRICAN OYSTER CATCHER,/home/u668954/Bird_classifier/valid/AFRICAN OYSTER CATCHER/5.jpg,6
AFRICAN PIED HORNBILL,/home/u668954/Bird_classifier/valid/AFRICAN PIED HORNBILL/1.jpg,7
AFRICAN PIED HORNBILL,/home/u668954/Bird_classifier/valid/AFRICAN PIED HORNBILL/2.jpg,7
AFRICAN PIED HORNBILL,/home/u668954/Bird_classifier/valid/AFRICAN PIED HORNBILL/3.jpg,7
AFRICAN PIED HORNBILL,/home/u668954/Bird_classifier/valid/AFRICAN PIED HORNBILL/4.jpg,7
AFRICAN PIED HORNBILL,/home/u668954/Bird_classifier/valid/AFRICAN PIED HORNBILL/5.jpg,7
ALBATROSS,/home/u668954/Bird_classifier/valid/ALBATROSS/1.jpg,8
ALBATROSS,/home/u668954/Bird_classifier/valid/ALBATROSS/2.jpg,8
ALBATROSS,/home/u668954/Bird_classifier/valid/ALBATROSS/3.jpg,8
ALBATROSS,/home/u668954/Bird_classifier/valid/ALBATROSS/4.jpg,8
ALBATROSS,/home/u668954/Bird_classifier/valid/ALBATROSS/5.jpg,8
ALBERTS TOWHEE,/home/u668954/Bird_classifier/valid/ALBERTS TOWHEE/1.jpg,9
ALBERTS TOWHEE,/home/u668954/Bird_classifier/valid/ALBERTS TOWHEE/2.jpg,9
ALBERTS TOWHEE,/home/u668954/Bird_classifier/valid/ALBERTS TOWHEE/3.jpg,9
ALBERTS TOWHEE,/home/u668954/Bird_classifier/valid/ALBERTS TOWHEE/4.jpg,9
ALBERTS TOWHEE,/home/u668954/Bird_classifier/valid/ALBERTS TOWHEE/5.jpg,9
ALEXANDRINE PARAKEET,/home/u668954/Bird_classifier/valid/ALEXANDRINE PARAKEET/1.jpg,10
ALEXANDRINE PARAKEET,/home/u668954/Bird_classifier/valid/ALEXANDRINE PARAKEET/2.jpg,10
ALEXANDRINE PARAKEET,/home/u668954/Bird_classifier/valid/ALEXANDRINE PARAKEET/3.jpg,10
ALEXANDRINE PARAKEET,/home/u668954/Bird_classifier/valid/ALEXANDRINE PARAKEET/4.jpg,10
ALEXANDRINE PARAKEET,/home/u668954/Bird_classifier/valid/ALEXANDRINE PARAKEET/5.jpg,10
ALPINE CHOUGH,/home/u668954/Bird_classifier/valid/ALPINE CHOUGH/1.jpg,11
ALPINE CHOUGH,/home/u668954/Bird_classifier/valid/ALPINE CHOUGH/2.jpg,11
ALPINE CHOUGH,/home/u668954/Bird_classifier/valid/ALPINE CHOUGH/3.jpg,11
ALPINE CHOUGH,/home/u668954/Bird_classifier/valid/ALPINE CHOUGH/4.jpg,11
ALPINE CHOUGH,/home/u668954/Bird_classifier/valid/ALPINE CHOUGH/5.jpg,11
ALTAMIRA YELLOWTHROAT,/home/u668954/Bird_classifier/valid/ALTAMIRA YELLOWTHROAT/1.jpg,12
ALTAMIRA YELLOWTHROAT,/home/u668954/Bird_classifier/valid/ALTAMIRA YELLOWTHROAT/2.jpg,12
ALTAMIRA YELLOWTHROAT,/home/u668954/Bird_classifier/valid/ALTAMIRA YELLOWTHROAT/3.jpg,12
ALTAMIRA YELLOWTHROAT,/home/u668954/Bird_classifier/valid/ALTAMIRA YELLOWTHROAT/4.jpg,12
ALTAMIRA YELLOWTHROAT,/home/u668954/Bird_classifier/valid/ALTAMIRA YELLOWTHROAT/5.jpg,12
