Bird name,Path,ID
ABBOTTS BABBLER,valid/ABBOTTS BABBLER/1.jpg,0
ABBOTTS BABBLER,valid/ABBOTTS BABBLER/2.jpg,0
ABBOTTS BABBLER,valid/ABBOTTS BABBLER/3.jpg,0
ABBOTTS BABBLER,valid/ABBOTTS BABBLER/4.jpg,0
ABBOTTS BABBLER,valid/ABBOTTS BABBLER/5.jpg,0
ABBOTTS BOOBY,valid/ABBOTTS BOOBY/1.jpg,1
ABBOTTS BOOBY,valid/ABBOTTS BOOBY/2.jpg,1
ABBOTTS BOOBY,valid/ABBOTTS BOOBY/3.jpg,1
ABBOTTS BOOBY,valid/ABBOTTS BOOBY/4.jpg,1
ABBOTTS BOOBY,valid/ABBOTTS BOOBY/5.jpg,1
ABYSSINIAN GROUND HORNBILL,valid/ABYSSINIAN GROUND HORNBILL/1.jpg,2
ABYSSINIAN GROUND HORNBILL,valid/ABYSSINIAN GROUND HORNBILL/2.jpg,2
ABYSSINIAN GROUND HORNBILL,valid/ABYSSINIAN GROUND HORNBILL/3.jpg,2
ABYSSINIAN GROUND HORNBILL,valid/ABYSSINIAN GROUND HORNBILL/4.jpg,2
ABYSSINIAN GROUND HORNBILL,valid/ABYSSINIAN GROUND HORNBILL/5.jpg,2
AFRICAN CROWNED CRANE,valid/AFRICAN CROWNED CRANE/1.jpg,3
AFRICAN CROWNED CRANE,valid/AFRICAN CROWNED CRANE/2.jpg,3
AFRICAN CROWNED CRANE,valid/AFRICAN CROWNED CRANE/3.jpg,3
AFRICAN CROWNED CRANE,valid/AFRICAN CROWNED CRANE/4.jpg,3
AFRICAN CROWNED CRANE,valid/AFRICAN CROWNED CRANE/5.jpg,3
AFRICAN EMERALD CUCKOO,valid/AFRICAN EMERALD CUCKOO/1.jpg,4
AFRICAN EMERALD CUCKOO,valid/AFRICAN EMERALD CUCKOO/2.jpg,4
AFRICAN EMERALD CUCKOO,valid/AFRICAN EMERALD CUCKOO/3.jpg,4
AFRICAN EMERALD CUCKOO,valid/AFRICAN EMERALD CUCKOO/4.jpg,4
AFRICAN EMERALD CUCKOO,valid/AFRICAN EMERALD CUCKOO/5.jpg,4
AFRICAN FIREFINCH,valid/AFRICAN FIREFINCH/1.jpg,5
AFRICAN FIREFINCH,valid/AFRICAN FIREFINCH/2.jpg,5
AFRICAN FIREFINCH,valid/AFRICAN FIREFINCH/3.jpg,5
AFRICAN FIREFINCH,valid/AFRICAN FIREFINCH/4.jpg,5
AFRICAN FIREFINCH,valid/AFRICAN FIREFINCH/5.jpg,5
AFRICAN OYSTER CATCHER,valid/AFRICAN OYSTER CATCHER/1.jpg,6
