Bird name,Path,ID
ABBOTTS BABBLER,test/ABBOTTS BABBLER/1.jpg,0
ABBOTTS BABBLER,test/ABBOTTS BABBLER/2.jpg,0
ABBOTTS BABBLER,test/ABBOTTS BABBLER/3.jpg,0
ABBOTTS BABBLER,test/ABBOTTS BABBLER/4.jpg,0
ABBOTTS BABBLER,test/ABBOTTS BABBLER/5.jpg,0
ABBOTTS BOOBY,test/ABBOTTS BOOBY/1.jpg,1
ABBOTTS BOOBY,test/ABBOTTS BOOBY/2.jpg,1
ABBOTTS BOOBY,test/ABBOTTS BOOBY/3.jpg,1
ABBOTTS BOOBY,test/ABBOTTS BOOBY/4.jpg,1
ABBOTTS BOOBY,test/ABBOTTS BOOBY/5.jpg,1
ABYSSINIAN GROUND HORNBILL,test/ABYSSINIAN GROUND HORNBILL/1.jpg,2
ABYSSINIAN GROUND HORNBILL,test/ABYSSINIAN GROUND HORNBILL/2.jpg,2
ABYSSINIAN GROUND HORNBILL,test/ABYSSINIAN GROUND HORNBILL/3.jpg,2
ABYSSINIAN GROUND HORNBILL,test/ABYSSINIAN GROUND HORNBILL/4.jpg,2
ABYSSINIAN GROUND HORNBILL,test/ABYSSINIAN GROUND HORNBILL/5.jpg,2
AFRICAN CROWNED CRANE,test/AFRICAN CROWNED CRANE/1.jpg,3
AFRICAN CROWNED CRANE,test/AFRICAN CROWNED CRANE/2.jpg,3
AFRICAN CROWNED CRANE,test/AFRICAN CROWNED CRANE/3.jpg,3
AFRICAN CROWNED CRANE,test/AFRICAN CROWNED CRANE/4.jpg,3
AFRICAN CROWNED CRANE,test/AFRICAN CROWNED CRANE/5.jpg,3
AFRICAN EMERALD CUCKOO,test/AFRICAN EMERALD CUCKOO/1.jpg,4
AFRICAN EMERALD CUCKOO,test/AFRICAN EMERALD CUCKOO/2.jpg,4
AFRICAN EMERALD CUCKOO,test/AFRICAN EMERALD CUCKOO/3.jpg,4
AFRICAN EMERALD CUCKOO,test/AFRICAN EMERALD CUCKOO/4.jpg,4
AFRICAN EMERALD CUCKOO,test/AFRICAN EMERALD CUCKOO/5.jpg,4
AFRICAN FIREFINCH,test/AFRICAN FIREFINCH/1.jpg,5
AFRICAN FIREFINCH,test/AFRICAN FIREFINCH/2.jpg,5
AFRICAN FIREFINCH,test/AFRICAN FIREFINCH/3.jpg,5
AFRICAN FIREFINCH,test/AFRICAN FIREFINCH/4.jpg,5
AFRICAN FIREFINCH,test/AFRICAN FIREFINCH/5.jpg,5
AFRICAN OYSTER CATCHER,test/AFRICAN OYSTER CATCHER/1.jpg,6
AFRICAN OYSTER CATCHER,test/AFRICAN OYSTER CATCHER/2.jpg,6
AFRICAN OYSTER CATCHER,test/AFRICAN OYSTER CATCHER/3.jpg,6
AFRICAN OYSTER CATCHER,test/AFRICAN OYSTER CATCHER/4.jpg,6
AFRICAN OYSTER CATCHER,test/AFRICAN OYSTER CATCHER/5.jpg,6
AFRICAN PIED HORNBILL,test/AFRICAN PIED HORNBILL/1.jpg,7
AFRICAN PIED HORNBILL,test/AFRICAN PIED HORNBILL/2.jpg,7
AFRICAN PIED HORNBILL,test/AFRICAN PIED HORNBILL/3.jpg,7
AFRICAN PIED HORNBILL,test/AFRICAN PIED HORNBILL/4.jpg,7
AFRICAN PIED HORNBILL,test/AFRICAN PIED HORNBILL/5.jpg,7
ALBATROSS,test/ALBATROSS/1.jpg,8
ALBATROSS,test/ALBATROSS/2.jpg,8
ALBATROSS,test/ALBATROSS/3.jpg,8
ALBATROSS,test/ALBATROSS/4.jpg,8
ALBATROSS,test/ALBATROSS/5.jpg,8
ALBERTS TOWHEE,test/ALBERTS TOWHEE/1.jpg,9
ALBERTS TOWHEE,test/ALBERTS TOWHEE/2.jpg,9
ALBERTS TOWHEE,test/ALBERTS TOWHEE/3.jpg,9
ALBERTS TOWHEE,test/ALBERTS TOWHEE/4.jpg,9
ALBERTS TOWHEE,test/ALBERTS TOWHEE/5.jpg,9
ALEXANDRINE PARAKEET,test/ALEXANDRINE PARAKEET/1.jpg,10
ALEXANDRINE PARAKEET,test/ALEXANDRINE PARAKEET/2.jpg,10
ALEXANDRINE PARAKEET,test/ALEXANDRINE PARAKEET/3.jpg,10
ALEXANDRINE PARAKEET,test/ALEXANDRINE PARAKEET/4.jpg,10
ALEXANDRINE PARAKEET,test/ALEXANDRINE PARAKEET/5.jpg,10
ALPINE CHOUGH,test/ALPINE CHOUGH/1.jpg,11
ALPINE CHOUGH,test/ALPINE CHOUGH/2.jpg,11
ALPINE CHOUGH,test/ALPINE CHOUGH/3.jpg,11
ALPINE CHOUGH,test/ALPINE CHOUGH/4.jpg,11
ALPINE CHOUGH,test/ALPINE CHOUGH/5.jpg,11
ALTAMIRA YELLOWTHROAT,test/ALTAMIRA YELLOWTHROAT/1.jpg,12
ALTAMIRA YELLOWTHROAT,test/ALTAMIRA YELLOWTHROAT/2.jpg,12
ALTAMIRA YELLOWTHROAT,test/ALTAMIRA YELLOWTHROAT/3.jpg,12
ALTAMIRA YELLOWTHROAT,test/ALTAMIRA YELLOWTHROAT/4.jpg,12
ALTAMIRA YELLOWTHROAT,test/ALTAMIRA YELLOWTHROAT/5.jpg,12
AMERICAN AVOCET,test/AMERICAN AVOCET/1.jpg,13
AMERICAN AVOCET,test/AMERICAN AVOCET/2.jpg,13
AMERICAN AVOCET,test/AMERICAN AVOCET/3.jpg,13
AMERICAN AVOCET,test/AMERICAN AVOCET/4.jpg,13
AMERICAN AVOCET,test/AMERICAN AVOCET/5.jpg,13
AMERICAN BITTERN,test/AMERICAN BITTERN/1.jpg,14
AMERICAN BITTERN,test/AMERICAN BITTERN/2.jpg,14
AMERICAN BITTERN,test/AMERICAN BITTERN/3.jpg,14
AMERICAN BITTERN,test/AMERICAN BITTERN/4.jpg,14
AMERICAN BITTERN,test/AMERICAN BITTERN/5.jpg,14
AMERICAN COOT,test/AMERICAN COOT/1.jpg,15
AMERICAN COOT,test/AMERICAN COOT/2.jpg,15
AMERICAN COOT,test/AMERICAN COOT/3.jpg,15
AMERICAN COOT,test/AMERICAN COOT/4.jpg,15
AMERICAN COOT,test/AMERICAN COOT/5.jpg,15
AMERICAN FLAMINGO,test/AMERICAN FLAMINGO/1.jpg,16
AMERICAN FLAMINGO,test/AMERICAN FLAMINGO/2.jpg,16
AMERICAN FLAMINGO,test/AMERICAN FLAMINGO/3.jpg,16
AMERICAN FLAMINGO,test/AMERICAN FLAMINGO/4.jpg,16
